Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd,latitude,elevation,longitude,elevation (ft),Well Depth
1,1135594,873308,47.709949984,-122.55044562399999,2/14/1979,274.0,6.0,60938,W,47.709949984,76,-122.55044562399999,249.34384,-24.65616
1,1132849,833770,47.601410438,-122.55740208799999,10/2/1992,4.0,40.0,60983,W,47.601410438,4,-122.55740208799999,13.12336,9.12336
1,1136791,834988,47.60502888600001,-122.541558294,6/8/1982,145.0,6.0,61002,W,47.60502888600001,64,-122.541558294,209.97376,64.97376
1,1132718,865452,47.688217688,-122.56128812700001,7/29/1985,126.0,6.0,61004,W,47.688217688,49,-122.56128812700001,160.76116,34.76115999999999
1,1132798,869426,47.699112899,-122.56138504100001,1/31/1989,115.0,6.0,61009,W,47.699112899,48,-122.56138504100001,157.48032,42.480320000000006
1,1132659,862815,47.680987571,-122.56124784,10/25/1993,121.0,6.0,61038,W,47.680987571,48,-122.56124784,157.48032,36.480320000000006
1,1132785,831114,47.594127582,-122.55738064100001,8/30/1989,128.0,6.0,61060,W,47.594127582,0,-122.55738064100001,0.0,-128.0
1,1128921,833874,47.601413515,-122.57332782799999,12/15/1979,68.0,6.0,61070,W,47.601413515,27,-122.57332782799999,88.58268,20.582679999999996
1,1128921,833874,47.601413515,-122.57332782799999,11/2/1978,91.0,6.0,61086,W,47.601413515,27,-122.57332782799999,88.58268,-2.4173200000000037
1,1143809,836902,47.610768314,-122.513319716,3/30/1978,165.0,6.0,61104,W,47.610768314,44,-122.513319716,144.35696,-20.643040000000013
1,1132816,832443,47.597771682,-122.55739552,11/6/1989,60.0,6.0,61105,W,47.597771682,0,-122.55739552,0.0,-60.0
1,1136323,850911,47.648629293,-122.545127805,11/22/1988,234.0,6.0,61108,W,47.648629293,91,-122.545127805,298.55644,64.55644000000001
1,1138134,870583,47.702663502,-122.53984730799999,12/13/1983,227.0,6.0,61112,W,47.702663502,35,-122.53984730799999,114.82939999999999,-112.17060000000001
1,1134056,866735,47.691829062,-122.555993975,6/30/1977,76.0,6.0,61138,W,47.691829062,64,-122.555993975,209.97376,133.97376
1,1132191,843044,47.62677682899999,-122.561050096,7/12/1992,60.0,6.0,61168,W,47.62677682899999,102,-122.561050096,334.64567999999997,274.64567999999997
1,1132821,870755,47.702756233,-122.561432699,7/8/1987,150.0,6.0,61191,W,47.702756233,56,-122.561432699,183.72704,33.72703999999999
1,1138968,850819,47.648564664,-122.53439208200001,3/20/1980,106.0,6.0,61193,W,47.648564664,59,-122.53439208200001,193.56956,87.56956
1,1138744,841561,47.623179263000004,-122.53433195,5/29/1974,110.0,6.0,61201,W,47.623179263000004,0,-122.53433195,0.0,-110.0
1,1132225,844365,47.630399163,-122.561052226,12/29/1988,237.0,6.0,61211,W,47.630399163,82,-122.561052226,269.02888,32.028880000000015
1,1130156,829824,47.590404133999996,-122.567893811,8/10/1987,62.0,6.0,61283,W,47.590404133999996,5,-122.567893811,16.4042,-45.5958
1,1144590,865137,47.68819492,-122.513075615,9/22/1977,67.0,6.0,61289,W,47.68819492,39,-122.513075615,127.95276,60.95276
1,1133544,844340,47.630425,-122.555702595,7/29/1977,230.0,6.0,61296,W,47.630425,67,-122.555702595,219.81628,-10.183719999999994
1,1143342,869124,47.699032768,-122.51855449899999,6/18/1975,74.0,6.0,61305,W,47.699032768,53,-122.51855449899999,173.88452,99.88452000000001
1,1132260,845685,47.634018821000005,-122.56105019700001,6/22/1984,105.0,6.0,61306,W,47.634018821000005,39,-122.56105019700001,127.95276,22.952759999999998
1,1146727,846636,47.637646238,-122.502496473,4/24/1991,228.0,6.0,61312,W,47.637646238,37,-122.502496473,121.39108,-106.60892
1,1129022,849069,47.643059172,-122.57453818299999,6/10/1978,85.0,6.0,61321,W,47.643059172,32,-122.57453818299999,104.98688,19.98688
1,1131033,851008,47.648517186999996,-122.566590082,7/7/1989,94.0,6.0,61351,W,47.648517186999996,16,-122.566590082,52.49344,-41.50656
1,1141582,849386,47.644822151999996,-122.52364255,2/23/1978,70.0,6.0,61373,W,47.644822151999996,59,-122.52364255,193.56956,123.56956
1,1138185,871900,47.706275941,-122.53977856600001,10/6/1989,191.0,6.0,61376,W,47.706275941,39,-122.53977856600001,127.95276,-63.04724
1,1143824,837884,47.613460374,-122.513360529,12/22/1989,78.0,6.0,61378,W,47.613460374,36,-122.513360529,118.11024,40.110240000000005
1,1136617,864058,47.684676038,-122.545318341,12/31/1988,68.0,6.0,61381,W,47.684676038,55,-122.545318341,180.4462,112.4462
1,1141518,846738,47.637561368,-122.52362653,9/9/1980,264.0,12.0,61382,W,47.637561368,80,-122.52362653,262.4672,-1.5328000000000088
1,1138968,850819,47.648564664,-122.53439208200001,2/18/1983,225.0,6.0,61414,W,47.648564664,59,-122.53439208200001,193.56956,-31.430440000000004
1,1127189,855052,47.659321543999994,-122.58261121700001,8/25/1992,90.0,6.0,61479,W,47.659321543999994,47,-122.58261121700001,154.19948,64.19948
1,1135594,873308,47.709949984,-122.55044562399999,5/9/1991,273.0,6.0,61528,W,47.709949984,76,-122.55044562399999,249.34384,-23.65616
1,1140642,866555,47.691803281000006,-122.529245685,9/15/1986,53.0,6.0,61534,W,47.691803281000006,54,-122.529245685,177.16536,124.16535999999999
1,1143342,869124,47.699032768,-122.51855449899999,5/18/1984,64.0,6.0,61539,W,47.699032768,53,-122.51855449899999,173.88452,109.88452000000001
1,1139454,870543,47.702647333,-122.534484776,1/21/1983,225.0,6.0,61541,W,47.702647333,24,-122.534484776,78.74016,-146.25984
1,1128861,831151,47.59394735,-122.57328086700001,10/26/1990,74.0,6.0,61553,W,47.59394735,1,-122.57328086700001,3.28084,-70.71916
1,1132289,847008,47.637646265,-122.561072812,7/22/1983,67.0,6.0,61572,W,47.637646265,35,-122.561072812,114.82939999999999,47.82939999999999
1,1134325,874659,47.713561413,-122.555740593,9/12/1986,82.0,6.0,61589,W,47.713561413,57,-122.555740593,187.00788,105.00788
1,1141235,836178,47.608603766,-122.52367523,1/30/1990,250.0,6.0,61595,W,47.608603766,113,-122.52367523,370.73492,120.73491999999999
1,1135307,864084,47.68465406,-122.55063701,3/27/1987,51.0,6.0,61609,W,47.68465406,48,-122.55063701,157.48032,106.48032
1,1140642,866555,47.691803281000006,-122.529245685,5/2/1989,46.0,6.0,61613,W,47.691803281000006,54,-122.529245685,177.16536,131.16536
1,1135337,865393,47.688243121000006,-122.550653401,2/28/1984,55.0,6.0,61628,W,47.688243121000006,34,-122.550653401,111.54856,56.548559999999995
1,1147994,845308,47.63409514600001,-122.49722312200001,7/22/1987,152.0,6.0,61633,W,47.63409514600001,53,-122.49722312200001,173.88452,21.88452000000001
1,1129694,849717,47.64488326,-122.57188241600001,9/4/1984,58.0,6.0,61636,W,47.64488326,27,-122.57188241600001,88.58268,30.582679999999996
1,1127189,855052,47.659321543999994,-122.58261121700001,4/29/1993,129.0,6.0,61637,W,47.659321543999994,47,-122.58261121700001,154.19948,25.199479999999994
