Well Log Id,Well Comp Dt,Year,Well Depth Qt,Well Diameter Qt,Well Depth,elevation,elevation (ft),St Plane Xcoord Nr,St Plane Ycoord Nr,latitude,longitude
60938,2/14/1979,1979,274,6,-24.65616,76,249.34384,1135594,873308,47.70994998,-122.5504456
60983,10/2/1992,1992,4,40,9.12336,4,13.12336,1132849,833770,47.60141044,-122.5574021
61002,6/8/1982,1982,145,6,64.97376,64,209.97376,1136791,834988,47.60502889,-122.5415583
61004,7/29/1985,1985,126,6,34.76116,49,160.76116,1132718,865452,47.68821769,-122.5612881
61009,1/31/1989,1989,115,6,42.48032,48,157.48032,1132798,869426,47.6991129,-122.561385
61038,10/25/1993,1993,121,6,36.48032,48,157.48032,1132659,862815,47.68098757,-122.5612478
61060,8/30/1989,1989,128,6,-128,0,0,1132785,831114,47.59412758,-122.5573806
61070,12/15/1979,1979,68,6,20.58268,27,88.58268,1128921,833874,47.60141352,-122.5733278
61086,11/2/1978,1978,91,6,-2.41732,27,88.58268,1128921,833874,47.60141352,-122.5733278
61104,3/30/1978,1978,165,6,-20.64304,44,144.35696,1143809,836902,47.61076831,-122.5133197
61105,11/6/1989,1989,60,6,-60,0,0,1132816,832443,47.59777168,-122.5573955
61108,11/22/1988,1988,234,6,64.55644,91,298.55644,1136323,850911,47.64862929,-122.5451278
61112,12/13/1983,1983,227,6,-112.1706,35,114.8294,1138134,870583,47.7026635,-122.5398473
61138,6/30/1977,1977,76,6,133.97376,64,209.97376,1134056,866735,47.69182906,-122.555994
61168,7/12/1992,1992,60,6,274.64568,102,334.64568,1132191,843044,47.62677683,-122.5610501
61191,7/8/1987,1987,150,6,33.72704,56,183.72704,1132821,870755,47.70275623,-122.5614327
61193,3/20/1980,1980,106,6,87.56956,59,193.56956,1138968,850819,47.64856466,-122.5343921
61201,5/29/1974,1974,110,6,-110,0,0,1138744,841561,47.62317926,-122.534332
61211,12/29/1988,1988,237,6,32.02888,82,269.02888,1132225,844365,47.63039916,-122.5610522
