Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd
1,1135594,873308,47.709949984,-122.550445624,2/14/1979,274,6,60938,W
1,1132849,833770,47.601410438,-122.557402088,10/2/1992,4,40,60983,W
1,1136791,834988,47.605028886,-122.541558294,6/8/1982,145,6,61002,W
1,1132718,865452,47.688217688,-122.561288127,7/29/1985,126,6,61004,W
1,1132798,869426,47.699112899,-122.561385041,1/31/1989,115,6,61009,W
1,1132659,862815,47.680987571,-122.561247840,10/25/1993,121,6,61038,W
1,1132785,831114,47.594127582,-122.557380641,8/30/1989,128,6,61060,W
1,1128921,833874,47.601413515,-122.573327828,12/15/1979,68,6,61070,W
1,1128921,833874,47.601413515,-122.573327828,11/2/1978,91,6,61086,W
1,1143809,836902,47.610768314,-122.513319716,3/30/1978,165,6,61104,W
1,1132816,832443,47.597771682,-122.557395520,11/6/1989,60,6,61105,W
1,1136323,850911,47.648629293,-122.545127805,11/22/1988,234,6,61108,W
1,1138134,870583,47.702663502,-122.539847308,12/13/1983,227,6,61112,W
1,1134056,866735,47.691829062,-122.555993975,6/30/1977,76,6,61138,W
1,1132191,843044,47.626776829,-122.561050096,7/12/1992,60,6,61168,W
1,1132821,870755,47.702756233,-122.561432699,7/8/1987,150,6,61191,W
1,1138968,850819,47.648564664,-122.534392082,3/20/1980,106,6,61193,W
1,1138744,841561,47.623179263,-122.534331950,5/29/1974,110,6,61201,W
1,1132225,844365,47.630399163,-122.561052226,12/29/1988,237,6,61211,W
1,1130156,829824,47.590404134,-122.567893811,8/10/1987,62,6,61283,W
1,1144590,865137,47.688194920,-122.513075615,9/22/1977,67,6,61289,W
1,1133544,844340,47.630425000,-122.555702595,7/29/1977,230,6,61296,W
1,1143342,869124,47.699032768,-122.518554499,6/18/1975,74,6,61305,W
1,1132260,845685,47.634018821,-122.561050197,6/22/1984,105,6,61306,W
1,1146727,846636,47.637646238,-122.502496473,4/24/1991,228,6,61312,W
1,1129022,849069,47.643059172,-122.574538183,6/10/1978,85,6,61321,W
1,1131033,851008,47.648517187,-122.566590082,7/7/1989,94,6,61351,W
1,1141582,849386,47.644822152,-122.523642550,2/23/1978,70,6,61373,W
1,1138185,871900,47.706275941,-122.539778566,10/6/1989,191,6,61376,W
1,1143824,837884,47.613460374,-122.513360529,12/22/1989,78,6,61378,W
1,1136617,864058,47.684676038,-122.545318341,12/31/1988,68,6,61381,W
1,1141518,846738,47.637561368,-122.523626530,9/9/1980,264,12,61382,W
1,1138968,850819,47.648564664,-122.534392082,2/18/1983,225,6,61414,W
1,1127189,855052,47.659321544,-122.582611217,8/25/1992,90,6,61479,W
1,1135594,873308,47.709949984,-122.550445624,5/9/1991,273,6,61528,W
1,1140642,866555,47.691803281,-122.529245685,9/15/1986,53,6,61534,W
1,1143342,869124,47.699032768,-122.518554499,5/18/1984,64,6,61539,W
1,1139454,870543,47.702647333,-122.534484776,1/21/1983,225,6,61541,W
1,1128861,831151,47.593947350,-122.573280867,10/26/1990,74,6,61553,W
1,1132289,847008,47.637646265,-122.561072812,7/22/1983,67,6,61572,W
1,1134325,874659,47.713561413,-122.555740593,9/12/1986,82,6,61589,W
1,1141235,836178,47.608603766,-122.523675230,1/30/1990,250,6,61595,W
1,1135307,864084,47.684654060,-122.550637010,3/27/1987,51,6,61609,W
1,1140642,866555,47.691803281,-122.529245685,5/2/1989,46,6,61613,W
1,1135337,865393,47.688243121,-122.550653401,2/28/1984,55,6,61628,W
1,1147994,845308,47.634095146,-122.497223122,7/22/1987,152,6,61633,W
1,1129694,849717,47.644883260,-122.571882416,9/4/1984,58,6,61636,W
1,1127189,855052,47.659321544,-122.582611217,4/29/1993,129,6,61637,W
1,1137526,845573,47.634087104,-122.539689472,8/7/1990,150,6,61661,W
1,1132334,849657,47.644908421,-122.561171082,7/23/1990,57,6,61662,W
1,1131469,868139,47.695490979,-122.566642597,11/15/1984,265,6,61664,W
1,1134832,842994,47.626828471,-122.550339394,8/4/1979,75,6,61683,W
1,1142516,835960,47.608096339,-122.518461733,2/22/1991,157,6,61708,W
1,1136294,849586,47.644996386,-122.545106061,6/21/1989,293,6,61709,W
1,1132749,866768,47.691825994,-122.561301921,10/12/1978,123,6,61717,W
1,1131131,844388,47.630383753,-122.565489534,5/8/1989,68,6,61736,W
1,1135480,835027,47.605042631,-122.546874442,3/14/1979,105,6,61743,W
1,1135001,850934,47.648598247,-122.550491223,12/11/1985,220,6,61750,W
1,1140321,852087,47.652134846,-122.529037649,2/21/1991,103,6,61758,W
1,1127189,855052,47.659321544,-122.582611217,8/31/1979,148,6,61764,W
1,1129401,843098,47.626724436,-122.572365177,2/28/1979,113,6,61773,W
1,1137555,846897,47.637717292,-122.539710738,4/17/1976,72,6,61780,W
1,1136964,874557,47.713469934,-122.545015070,4/29/1983,196,6,61799,W
1,1130970,847035,47.637625662,-122.566423378,8/22/1983,138,6,61830,W
1,1128921,833874,47.601413515,-122.573327828,10/31/1990,53,6,61841,W
1,1130970,847035,47.637625662,-122.566423378,6/23/1989,80,6,61848,W
1,1134087,868058,47.695456543,-122.556008152,8/8/1979,162,6,61854,W
1,1147043,857151,47.666482396,-122.502297732,12/23/1994,22,36,61872,W
1,1134802,841673,47.623206416,-122.550321778,8/24/1977,85,6,61887,W
1,1133838,857570,47.666699497,-122.555908998,3/9/1979,38,6,61889,W
1,1133544,844340,47.630425000,-122.555702595,1/5/1977,154,6,61901,W
1,1133838,857570,47.666699497,-122.555908998,8/27/1979,30,6,61910,W
1,1134562,859518,47.672089136,-122.553177773,11/13/1978,44,6,61921,W
1,1145888,863778,47.684561611,-122.507667553,7/9/1997,490,6,61932,W
1,1128374,849749,47.644875791,-122.577238293,3/6/1987,66,6,61950,W
1,1132821,870755,47.702756233,-122.561432699,6/21/1988,169,6,61962,W
1,1130177,831145,47.594025598,-122.567949068,12/26/1986,73,6,61973,W
1,1129401,843098,47.626724436,-122.572365177,1/31/1989,208,6,61981,W
1,1142098,870464,47.702617279,-122.523743589,11/13/1996,580,6,61992,W
1,1129817,855002,47.659374228,-122.571946723,6/24/1982,75,6,61994,W
1,1134832,842994,47.626828471,-122.550339394,4/14/1975,50,6,62008,W
1,1137616,849549,47.644988821,-122.539741533,8/14/1987,118,6,62027,W
1,1129404,844423,47.630355499,-122.572494170,11/1/1989,357,6,62045,W
1,1127207,856371,47.66293718,-122.582679500,6/24/1981,78,6,62056,W
1,1128395,851072,47.648502634,-122.577294455,10/21/1981,143,6,62062,W
1,1134765,840350,47.619578374,-122.550332325,6/10/1979,115,6,62084,W
1,1128861,831151,47.593947350,-122.573280867,2/14/1979,201,6,62088,W
1,1142525,837883,47.613366632,-122.518624730,9/5/1989,28,6,62091,W
1,1128861,831151,47.593947350,-122.573280867,8/6/1983,91,8,62141,W
1,1143123,858579,47.670121656,-122.518347929,11/1/1979,94,6,62162,W
1,1143809,836902,47.610768314,-122.513319716,6/17/1982,365,6,62201,W
1,1125887,856392,47.662899073,-122.588036009,1/16/1992,121,6,62207,W
1,1135279,861483,47.677524782,-122.550476190,2/22/1979,58,6,62220,W
1,1129150,854358,47.657561474,-122.574583358,5/29/1979,153,6,62252,W
1,1127207,856371,47.66293718,-122.582679500,5/29/1979,158,6,62253,W
1,1127189,855052,47.659321544,-122.582611217,7/14/1982,108,6,62254,W
1,1132334,849657,47.644908421,-122.561171082,6/26/1987,69,6,62265,W
1,1131488,831138,47.594100504,-122.562637403,9/4/1984,80,6,62266,W
1,1131631,873456,47.710072062,-122.566550609,3/3/1989,100,6,62271,W
1,1131469,868139,47.695490979,-122.566642597,7/21/1989,138,6,62285,W
1,1134832,842994,47.626828471,-122.550339394,5/21/1990,60,6,62307,W
1,1134118,869384,47.699092238,-122.556022649,6/16/1979,173,6,62319,W
1,1144208,849288,47.644737776,-122.512984044,4/12/1985,154,8,62350,W
1,1144208,849288,47.644737776,-122.512984044,6/4/1986,94,6,62355,W
1,1132480,856277,47.663059246,-122.561280724,6/19/1985,94,6,62357,W
1,1133408,839058,47.615941106,-122.555695739,1/25/1979,242,6,62378,W
1,1142931,850651,47.648383346,-122.518303683,6/15/1987,78,6,62405,W
1,1132191,843044,47.626776829,-122.561050096,11/21/1986,243,6,62415,W
1,1145888,863778,47.684561611,-122.507667553,2/20/1991,53,6,62426,W
1,1137555,846897,47.637717292,-122.539710738,3/11/1991,96,6,62435,W
1,1134765,840350,47.619578374,-122.550332325,6/12/1985,83,6,62436,W
1,1134974,849609,47.644965483,-122.550461003,10/3/1988,95,6,62439,W
1,1140001,838854,47.615849985,-122.528954639,12/8/1986,295,6,62440,W
1,1133988,861517,47.677525847,-122.555717898,5/5/1989,255,6,62444,W
1,1128332,847099,47.637611124,-122.577125564,10/24/1989,54,6,62447,W
1,1131488,831138,47.594100504,-122.562637403,7/27/1987,95,6,62453,W
1,1145125,837884,47.613551277,-122.508088101,1/28/1994,594,12,62494,W
1,1136265,848260,47.641360732,-122.545084214,4/13/1989,1053,8,62529,W
1,1137498,844254,47.630470683,-122.539664679,5/16/1983,136,8,62530,W
1,1137498,844254,47.630470683,-122.539664679,5/26/1983,138,8,62531,W
1,1137498,844254,47.630470683,-122.539664679,2/4/1988,144,8,62532,W
1,1137498,844254,47.630470683,-122.539664679,10/15/1985,152,8,62533,W
1,1140087,842830,47.626751523,-122.529020702,8/6/1976,149,12,62534,W
1,1133544,844340,47.630425000,-122.555702595,12/29/1989,126,6,62542,W
1,1129694,849717,47.644883260,-122.571882416,11/28/1989,78,6,62547,W
1,1134274,873359,47.709995561,-122.555810060,6/15/1989,250,6,62566,W
1,1143160,859894,47.673727680,-122.518334363,5/10/1974,60,6,62569,W
1,1143160,859894,47.673727680,-122.518334363,11/14/1976,66,6,62570,W
1,1138078,833624,47.601382266,-122.536200768,11/5/1992,38,60,62651,W
1,1132952,873409,47.710038009,-122.561182520,1/14/1987,161,6,62691,W
1,1141969,866515,47.691787118,-122.523855840,2/11/1994,109,6,62701,W
1,1151210,825604,47.580321372,-122.482176912,8/18/1978,84,6,62720,W
1,1135694,875910,47.717087012,-122.550314292,10/8/1991,462,6,62725,W
1,1132480,856277,47.663059246,-122.561280724,1/23/1989,91,6,62726,W
1,1141969,866515,47.691787118,-122.523855840,6/14/1990,123,6,62727,W
1,1141946,865200,47.688182111,-122.523812221,3/8/1980,123,6,62728,W
1,1141323,838801,47.615797833,-122.523591381,1/1/1980,299,6,62777,W
1,1132191,843044,47.626776829,-122.561050096,9/4/1974,65,6,62804,W
1,1141323,838801,47.615797833,-122.523591381,5/16/1991,253,6,62823,W
1,1132155,841724,47.623157086,-122.561056178,7/18/1991,59,6,62837,W
1,1143799,835923,47.608084821,-122.513258956,10/27/1988,110,6,62845,W
1,1130156,829824,47.590404134,-122.567893811,6/1/1992,59,6,62849,W
1,1127169,853731,47.655700276,-122.582550840,6/28/1985,63,6,62879,W
1,1143050,855942,47.662890476,-122.518370271,3/27/1974,77,6,62923,W
1,1128861,831151,47.593947350,-122.573280867,9/23/1988,80,6,62947,W
1,1145080,835891,47.608086633,-122.508064802,7/24/1987,460,6,62990,W
1,1132798,869426,47.699112899,-122.561385041,10/7/1978,31,6,63002,W
1,1127075,851104,47.648494916,-122.582650695,11/16/1985,124,6,63007,W
1,1141969,866515,47.691787118,-122.523855840,5/14/1988,98,6,63008,W
1,1136589,862753,47.681098073,-122.545294615,1/17/1989,217,6,63035,W
1,1135446,833706,47.601420252,-122.546873275,6/17/1987,53,6,63048,W
1,1134765,840350,47.619578374,-122.550332325,10/20/1992,100,6,63070,W
1,1127262,857689,47.666552747,-122.582597594,2/24/1984,202,6,63095,W
1,1135001,850934,47.648598247,-122.550491223,4/26/1989,209,6,63099,W
1,1138045,832300,47.597751730,-122.536195961,3/21/1990,59,6,63102,W
1,1145981,869077,47.699088588,-122.507837653,2/17/1984,46,6,63130,W
1,1131106,843067,47.626762065,-122.56545062,6/16/1986,425,6,63136,W
1,1143799,835923,47.608084821,-122.513258956,11/9/1979,153,6,63140,W
1,1141278,837490,47.612202102,-122.523637413,6/13/1980,181,6,63161,W
1,1127075,851104,47.648494916,-122.582650695,10/24/1987,108,6,63183,W
1,1125869,855073,47.659283440,-122.587967362,4/6/1979,78,6,63187,W
1,1141278,837490,47.612202102,-122.523637413,5/23/1984,180,6,63198,W
1,1142789,845383,47.633937524,-122.518332762,5/22/1979,77,6,63236,W
1,1129402,841775,47.623099136,-122.572220201,12/24/1992,157,6,63247,W
1,1132355,850981,47.648538012,-122.561226257,5/18/1990,38,6,63252,W
1,1132821,870755,47.702756233,-122.561432699,9/8/1980,65,6,63293,W
1,1137526,845573,47.634087104,-122.539689472,1/21/1980,97,6,63297,W
1,1137555,846897,47.637717292,-122.539710738,12/1/1978,74,6,63330,W
1,1141323,838801,47.615797833,-122.523591381,1/18/1990,62,6,63357,W
1,1133511,843020,47.626805477,-122.555696880,9/26/1994,93,6,63391,W
1,1133511,843020,47.626805477,-122.555696880,2/4/1994,96,6,63392,W
1,1140727,869187,47.699021501,-122.529175576,5/13/1988,536,6,63420,W
1,1137616,849549,47.644988821,-122.539741533,6/21/1979,100,6,63424,W
1,1129999,860283,47.673858378,-122.571771269,5/23/1990,111,6,63425,W
1,1135440,869343,47.699074214,-122.550652248,3/11/1992,99,6,63449,W
1,1135446,833706,47.601420252,-122.546873275,6/24/1991,22,36,63466,W
1,1132697,861549,47.677521197,-122.560959395,8/8/1985,92,6,63468,W
1,1143293,866485,47.691797898,-122.518479213,4/13/1981,50,6,63542,W
1,1142521,836921,47.610730152,-122.518541149,6/28/1990,175,6,63566,W
1,1136760,869303,47.699058541,-122.545290074,3/25/1993,60,6,63571,W
1,1132749,866768,47.691825994,-122.561301921,8/3/1978,65,6,63579,W
