well_log_id,well_depth_qt,well_diameter_qt,well_comp_dt,well_type_cd,ST_PLANE_XCOORD_NR,ST_PLANE_YCOORD_NR,srcLat,srcLon
44457,198,6,11/16/1990,W,1056485,797894,47.49723725,-122.8624126
46137,180,6,7/15/1988,W,1087187,767434,47.4162212,-122.7347793
48869,82,6,9/28/1988,W,1100460,772361,47.43074171,-122.6817409
49479,37,6,5/28/1980,W,1075298,803780,47.51488572,-122.7870344
60934,550,6,2/2/1992,W,1041615,832979,47.59213471,-122.9269007
60938,274,6,2/14/1979,W,1135594,873308,47.70994998,-122.5504456
60960,83,6,10/1/1974,W,1135321,906258,47.80021682,-122.5550401
60972,184,6,8/5/1987,W,1050424,841284,47.61562765,-122.892241
60974,272,6,5/8/1990,W,1117541,888359,47.74988158,-122.6253838
60975,188,6,8/21/1986,W,1101373,873026,47.70665652,-122.6893407
60977,118,6,1/3/1983,W,1120027,883005,47.73539445,-122.6147002
60983,4,40,10/2/1992,W,1132849,833770,47.60141044,-122.5574021
60990,184,6,3/30/1981,W,1118821,886989,47.74622213,-122.6200337
60991,190,6,1/23/1975,W,1101515,877025,47.71762473,-122.6892149
61002,145,6,6/8/1982,W,1136791,834988,47.60502889,-122.5415583
61004,126,6,7/29/1985,W,1132718,865452,47.68821769,-122.5612881
61007,171,6,7/30/1985,W,1149473,909563,47.81026913,-122.4978265
61009,115,6,1/31/1989,W,1132798,869426,47.6991129,-122.561385
61012,358,8,12/30/1978,W,1068774,839473,47.61216709,-122.8176651
61014,156,6,10/21/1986,W,1115969,879153,47.72454037,-122.6307599
61020,105,8,5/18/1994,W,1066630,816163,47.5481228,-122.8235695
61021,190,6,8/2/1990,W,1065201,812253,47.53729338,-122.8288856
61027,403,6,1/12/1980,W,1117587,848696,47.64120355,-122.6208629
61029,91,6,9/5/1986,W,1124344,896110,47.77161885,-122.5985821
61031,94,6,4/29/1985,W,1153616,895216,47.77124313,-122.4795094
61037,375,6,6/26/1984,W,1055283,834592,47.59769384,-122.8717355
61038,121,6,10/25/1993,W,1132659,862815,47.68098757,-122.5612478
61053,226,6,8/20/1980,W,1148298,898014,47.7785422,-122.5014137
61054,263,6,5/10/1993,W,1059833,847551,47.63357507,-122.8548716
61056,87,6,4/23/1984,W,1112235,844892,47.63038343,-122.6421438
61057,132,6,1/28/1993,W,1137904,903561,47.79301088,-122.5442512
61060,128,6,8/30/1989,W,1132785,831114,47.59412758,-122.5573806
61061,83,6,4/27/1988,W,1138121,911569,47.8149685,-122.5442129
61063,426,6,6/19/1990,W,1140155,936791,47.88422026,-122.5385911
61069,279,6,8/11/1989,W,1127716,809974,47.53583254,-122.5756612
61070,68,6,12/15/1979,W,1128921,833874,47.60141351,-122.5733278
61072,296,8,6/28/1974,W,1116504,897564,47.7750268,-122.6306074
61077,249,6,11/6/1986,W,1118830,846010,47.63393484,-122.615531
61078,123,6,1/2/1986,W,1131525,823673,47.57364659,-122.5616969
